base_seed,bler,cb_bler,cb_errors,cdd_delay_vector,ce_method,ce_nmse_branch,ce_nmse_eff,channel_model,coded_bits,common_random_numbers,cond_number,data_re,delay_spread_ns,dmrs_overhead,dmrs_spacing_sc,dmrs_symbols,effective_rank,goodput_bits_per_slot,goodput_se_per_re,mcs_index,mcs_table,n_cbs,n_dmrs_re,n_rx,n_trials,n_tx,noise_var,pdsch_rb,pdsch_symbols,prg_codebook,prg_size_rb,scenario_id,snr_db,speed_kmh,tb_errors,tbs_bits,tx_scheme,variant_id
3203262578,0.95,0.9375,75,"0,8",RMMSE_WB_KNOWN,nan,0.026819168810652532,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,751.5,0.1349676724137931,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,19,12024,CDD,direct_rmmse_wb_d8
2475620830,0.15,0.0875,7,"0,8",RMMSE_WB_KNOWN,nan,0.012360299444750731,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,10971.9,1.9705280172413793,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,3,12024,CDD,direct_rmmse_wb_d8
3047997818,0.0,0.0,0,"0,8",RMMSE_WB_KNOWN,nan,0.00574618842077552,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d8
449947905,0.0,0.0,0,"0,8",RMMSE_WB_KNOWN,nan,0.0020859563887839975,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d8
3203262578,1.0,1.0,80,"0,16",RMMSE_WB_KNOWN,nan,0.03395292092367145,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,direct_rmmse_wb_d16
2475620830,0.15,0.0875,7,"0,16",RMMSE_WB_KNOWN,nan,0.014339639740871902,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,10971.9,1.9705280172413793,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,3,12024,CDD,direct_rmmse_wb_d16
3047997818,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.0063228811491999794,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
449947905,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.0024213314719738147,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
3203262578,1.0,1.0,80,"0,32",RMMSE_WB_KNOWN,nan,0.04312750559522646,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,direct_rmmse_wb_d32
2475620830,0.05,0.05,4,"0,32",RMMSE_WB_KNOWN,nan,0.017784885524632314,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,direct_rmmse_wb_d32
3047997818,0.0,0.0,0,"0,32",RMMSE_WB_KNOWN,nan,0.008062239918612015,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d32
449947905,0.0,0.0,0,"0,32",RMMSE_WB_KNOWN,nan,0.0031727613274572493,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d32
3203262578,0.95,0.9375,75,"0,8",RECON_BASIS_LMMSE,0.18816584559441565,0.028017122436117408,tdl,22272,True,6459065278524.809,5568,30.0,0.03333333333333333,6,2,3.9657685344232276,751.5,0.1349676724137931,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,19,12024,CDD,structural_basis_d8
2475620830,0.2,0.1125,9,"0,8",RECON_BASIS_LMMSE,0.1444107309592299,0.013633095452968536,tdl,22272,True,6459065278524.809,5568,30.0,0.03333333333333333,6,2,3.9657685344232276,10671.3,1.916540948275862,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,4,12024,CDD,structural_basis_d8
3047997818,0.0,0.0,0,"0,8",RECON_BASIS_LMMSE,0.17965558732860726,0.006840404439767156,tdl,22272,True,6459065278524.809,5568,30.0,0.03333333333333333,6,2,3.9657685344232276,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,structural_basis_d8
449947905,0.0,0.0,0,"0,8",RECON_BASIS_LMMSE,0.13808321251689568,0.003105733601580778,tdl,22272,True,6459065278524.809,5568,30.0,0.03333333333333333,6,2,3.9657685344232276,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,structural_basis_d8
3203262578,1.0,1.0,80,"0,16",RECON_BASIS_LMMSE,0.0759223247318445,0.03467121609882628,tdl,22272,True,6020979474557.119,5568,30.0,0.03333333333333333,6,2,4.980125406923934,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,structural_basis_d16
2475620830,0.15,0.075,6,"0,16",RECON_BASIS_LMMSE,0.04989266543690285,0.015493146580057304,tdl,22272,True,6020979474557.119,5568,30.0,0.03333333333333333,6,2,4.980125406923934,11122.2,1.997521551724138,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,3,12024,CDD,structural_basis_d16
3047997818,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.03751676981934561,0.007248128734840892,tdl,22272,True,6020979474557.119,5568,30.0,0.03333333333333333,6,2,4.980125406923934,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,structural_basis_d16
449947905,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.037828837740841795,0.003446135450114727,tdl,22272,True,6020979474557.119,5568,30.0,0.03333333333333333,6,2,4.980125406923934,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,structural_basis_d16
3203262578,1.0,1.0,80,"0,32",RECON_BASIS_LMMSE,0.04764595149175006,0.044499392137861915,tdl,22272,True,5972582325109.998,5568,30.0,0.03333333333333333,6,2,5.601128675217131,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,structural_basis_d32
2475620830,0.05,0.05,4,"0,32",RECON_BASIS_LMMSE,0.022238151673207678,0.019848151258251324,tdl,22272,True,5972582325109.998,5568,30.0,0.03333333333333333,6,2,5.601128675217131,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,structural_basis_d32
3047997818,0.0,0.0,0,"0,32",RECON_BASIS_LMMSE,0.012651913597347991,0.009738822716043951,tdl,22272,True,5972582325109.998,5568,30.0,0.03333333333333333,6,2,5.601128675217131,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,structural_basis_d32
449947905,0.0,0.0,0,"0,32",RECON_BASIS_LMMSE,0.007299905817141829,0.004704697234716635,tdl,22272,True,5972582325109.998,5568,30.0,0.03333333333333333,6,2,5.601128675217131,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,structural_basis_d32
3203262578,0.95,0.9375,75,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,751.5,0.1349676724137931,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,19,12024,CDD,ideal_csi_d8
2475620830,0.15,0.075,6,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11122.2,1.997521551724138,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,3,12024,CDD,ideal_csi_d8
3047997818,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d8
449947905,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d8
3203262578,1.0,0.9875,79,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,150.3,0.02699353448275862,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,ideal_csi_d16
2475620830,0.05,0.05,4,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,ideal_csi_d16
3047997818,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d16
449947905,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d16
3203262578,1.0,1.0,80,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds30,0.0,0.0,20,12024,CDD,ideal_csi_d32
2475620830,0.05,0.05,4,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds30,4.0,0.0,1,12024,CDD,ideal_csi_d32
3047997818,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds30,8.0,0.0,0,12024,CDD,ideal_csi_d32
449947905,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,30.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds30,12.0,0.0,0,12024,CDD,ideal_csi_d32
1403846836,1.0,1.0,80,"0,8",RMMSE_WB_KNOWN,nan,0.05011748172237894,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,direct_rmmse_wb_d8
2291976224,0.15,0.0875,7,"0,8",RMMSE_WB_KNOWN,nan,0.023868068966916685,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,10971.9,1.9705280172413793,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,3,12024,CDD,direct_rmmse_wb_d8
3711766540,0.0,0.0,0,"0,8",RMMSE_WB_KNOWN,nan,0.012019477701861788,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d8
437165307,0.0,0.0,0,"0,8",RMMSE_WB_KNOWN,nan,0.00511603093446056,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d8
1403846836,1.0,1.0,80,"0,16",RMMSE_WB_KNOWN,nan,0.05837435584938009,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,direct_rmmse_wb_d16
2291976224,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.026909880036859707,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
3711766540,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.012148254443260561,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
437165307,0.0,0.0,0,"0,16",RMMSE_WB_KNOWN,nan,0.0052411252889624695,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d16
1403846836,1.0,1.0,80,"0,32",RMMSE_WB_KNOWN,nan,0.06592240705151481,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,direct_rmmse_wb_d32
2291976224,0.05,0.05,4,"0,32",RMMSE_WB_KNOWN,nan,0.030854144986262544,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,1,12024,CDD,direct_rmmse_wb_d32
3711766540,0.0,0.0,0,"0,32",RMMSE_WB_KNOWN,nan,0.014489388869583356,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,direct_rmmse_wb_d32
437165307,0.0,0.0,0,"0,32",RMMSE_WB_KNOWN,nan,0.005917683690151654,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,direct_rmmse_wb_d32
1403846836,1.0,1.0,80,"0,8",RECON_BASIS_LMMSE,0.38022640214346326,0.05170638906865886,tdl,22272,True,5377102402844.514,5568,100.0,0.03333333333333333,6,2,7.933352670564527,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,structural_basis_d8
2291976224,0.15,0.1125,9,"0,8",RECON_BASIS_LMMSE,0.3495628493968975,0.026790766757688583,tdl,22272,True,5377102402844.514,5568,100.0,0.03333333333333333,6,2,7.933352670564527,10671.3,1.916540948275862,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,3,12024,CDD,structural_basis_d8
3711766540,0.0,0.0,0,"0,8",RECON_BASIS_LMMSE,0.3797130812170943,0.015231676975920486,tdl,22272,True,5377102402844.514,5568,100.0,0.03333333333333333,6,2,7.933352670564527,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,structural_basis_d8
437165307,0.0,0.0,0,"0,8",RECON_BASIS_LMMSE,0.3740376737720802,0.00991046872414146,tdl,22272,True,5377102402844.514,5568,100.0,0.03333333333333333,6,2,7.933352670564527,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,structural_basis_d8
1403846836,1.0,1.0,80,"0,16",RECON_BASIS_LMMSE,0.2870365058422024,0.05963520238153432,tdl,22272,True,4871019615771.919,5568,100.0,0.03333333333333333,6,2,9.061511982834492,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,structural_basis_d16
2291976224,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.26816043968186726,0.029230722580819594,tdl,22272,True,4871019615771.919,5568,100.0,0.03333333333333333,6,2,9.061511982834492,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,0,12024,CDD,structural_basis_d16
3711766540,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.23454449731921967,0.014344057646846325,tdl,22272,True,4871019615771.919,5568,100.0,0.03333333333333333,6,2,9.061511982834492,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,structural_basis_d16
437165307,0.0,0.0,0,"0,16",RECON_BASIS_LMMSE,0.2445986772538548,0.00871336683066144,tdl,22272,True,4871019615771.919,5568,100.0,0.03333333333333333,6,2,9.061511982834492,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,structural_basis_d16
1403846836,1.0,1.0,80,"0,32",RECON_BASIS_LMMSE,0.15095633718273346,0.06684545899157168,tdl,22272,True,4430128729269.439,5568,100.0,0.03333333333333333,6,2,11.184010801402852,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,structural_basis_d32
2291976224,0.1,0.0625,5,"0,32",RECON_BASIS_LMMSE,0.11768288382925343,0.0320978498025644,tdl,22272,True,4430128729269.439,5568,100.0,0.03333333333333333,6,2,11.184010801402852,11272.5,2.0245150862068964,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,2,12024,CDD,structural_basis_d32
3711766540,0.0,0.0,0,"0,32",RECON_BASIS_LMMSE,0.10990418842490948,0.016396408973536926,tdl,22272,True,4430128729269.439,5568,100.0,0.03333333333333333,6,2,11.184010801402852,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,structural_basis_d32
437165307,0.0,0.0,0,"0,32",RECON_BASIS_LMMSE,0.10478804930262557,0.008869865251169052,tdl,22272,True,4430128729269.439,5568,100.0,0.03333333333333333,6,2,11.184010801402852,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,structural_basis_d32
1403846836,1.0,1.0,80,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,ideal_csi_d8
2291976224,0.1,0.05,4,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,2,12024,CDD,ideal_csi_d8
3711766540,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,ideal_csi_d8
437165307,0.0,0.0,0,"0,8",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,ideal_csi_d8
1403846836,1.0,1.0,80,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,ideal_csi_d16
2291976224,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,0,12024,CDD,ideal_csi_d16
3711766540,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,ideal_csi_d16
437165307,0.0,0.0,0,"0,16",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,ideal_csi_d16
1403846836,1.0,1.0,80,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,0.0,0.0,8,nr_256qam,4,192,4,20,2,1.0,48,10,qpsk_dft,4,fig10_static_ds100,0.0,0.0,20,12024,CDD,ideal_csi_d32
2291976224,0.05,0.05,4,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,11422.8,2.0515086206896553,8,nr_256qam,4,192,4,20,2,0.3981071705534972,48,10,qpsk_dft,4,fig10_static_ds100,4.0,0.0,1,12024,CDD,ideal_csi_d32
3711766540,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.15848931924611134,48,10,qpsk_dft,4,fig10_static_ds100,8.0,0.0,0,12024,CDD,ideal_csi_d32
437165307,0.0,0.0,0,"0,32",IDEAL_CSI,0.0,0.0,tdl,22272,True,nan,5568,100.0,0.03333333333333333,6,2,nan,12024.0,2.1594827586206895,8,nr_256qam,4,192,4,20,2,0.06309573444801933,48,10,qpsk_dft,4,fig10_static_ds100,12.0,0.0,0,12024,CDD,ideal_csi_d32
